,Date,AAPL.O,GLD,GM,IVV,SHY.O,SP500
137,2018/4/16,0.006218819,0.001411322,0.011296654,0.008281157,-0.000119954,0.008076322
138,2018/4/17,0.013670212,0.000939776,0.001275673,0.010641936,0,0.010605144
139,2018/4/18,-0.002246687,0.000782473,-0.007421659,0.000440966,-0.000840084,0.00083102
140,2018/4/19,-0.028749413,-0.001957331,-0.030250025,-0.005415275,0,-0.005742578
141,2018/4/20,-0.041835239,-0.007630922,-0.004245164,-0.008457651,-0.000360252,-0.00857318
142,2018/4/23,-0.002900655,-0.008007971,0.002124835,0,-0.000120113,5.61753E-05
143,2018/4/24,-0.014016928,0.004844163,0.006347548,-0.01331278,0.000240211,-0.013470896
144,2018/4/25,0.004347966,-0.00651727,0.004734359,0.001998832,-0.000120098,0.001835433
145,2018/4/26,0.003476991,-0.003514661,0.003666845,0.010233048,0.000180142,0.010380129
146,2018/4/27,-0.011637297,0.00423205,-0.015810606,0.000894621,0.000300165,0.001113016
147,2018/4/30,0.017950296,-0.007277412,-0.024466874,-0.007780103,-0.000360209,-0.008221244
148,2018/5/1,0.022970265,-0.007088229,-0.008748005,0.001950708,-0.000443187,0.002545802
149,2018/5/2,0.043227142,-0.000485123,-0.006058955,-0.006995139,0.000360815,-0.007231903
150,2018/5/3,0.001810672,0.005082091,-0.00138217,-0.002153504,0.000721241,-0.00225624
151,2018/5/4,0.038483347,0.002089865,0.015372249,0.012852005,-0.000360555,0.012729832
152,2018/5/7,0.007208899,0.000240857,-0.010130135,0.003615293,0,0.003451995
153,2018/5/8,0.004795139,0.000160539,-0.000275217,-0.000409325,6.01E-05,-0.000265691
154,2018/5/9,0.007016445,-0.002089025,-0.001652893,0.01022004,-0.000420787,0.009635604
155,2018/5/10,0.014202676,0.006813381,0.024241961,0.009021956,0,0.009327001
156,2018/5/11,-0.003795871,-0.001438964,-0.007292402,0.002078889,0,0.001706175
157,2018/5/14,-0.002335829,-0.004088346,-0.007072935,0.001274373,0,0.000883132
158,2018/5/15,-0.009130046,-0.01627764,0.008427398,-0.007340756,-0.000601431,-0.00686568
159,2018/5/16,0.00928948,-0.001552478,0.029080347,0.004717421,0,0.004052336
160,2018/5/17,-0.006343812,0.000572246,0.007074574,-0.000802949,0.000240616,-0.00085621
161,2018/5/18,-0.003643186,0.000408547,-0.013405379,-0.002449324,0.000481058,-0.002635698
162,2018/5/21,0.007059985,0.000571685,0.007907263,0.007293712,0,0.00735959
163,2018/5/22,-0.002508073,-0.000571685,0.004975786,-0.002692477,0,-0.003140664
164,2018/5/23,0.006391159,0.001061441,-0.011296587,0.00283781,0.000841296,0.003243109
